smart,fortwo,9.45,微型,3门2座单厢,260L,1年2个月,1.30万公里,1.0L,4.4L,1.0L/双离合,后轮驱动,3门2座单厢,2695mm*1663mm*1555mm,2017年07月,北京,
东风,帅客,7.48,MPV,5门7座两厢,- -,6个月,8.20万公里,1.6L,7.5L,1.6L/手动,前轮驱动,5门7座两厢,4500mm*1695mm*1825mm,2018年03月,福建 福州,
丰田,汉兰达,12.63,中型SUV,5门5座两厢,- -,7年9个月,8.63万公里,2.7L,9.9L,2.7L/手自一体,前轮驱动,5门5座两厢,4785mm*1910mm*1730mm,2010年12月,福建 福州,
大众,尚酷,14.50,紧凑型,3门4座两厢,- -,4年,6.31万公里,1.4L,6.5L,1.4L/双离合,前轮驱动,3门4座两厢,4248mm*1810mm*1404mm,2014年08月,福建 福州,
别克,君威,13.80,中型,4门5座三厢,442L,2年,2.10万公里,1.6L,8.2L,1.6L/手自一体,前轮驱动,4门5座三厢,4843mm*1856mm*1484mm,2016年09月,甘肃 酒泉,
奥迪,A6L,25.58,中大型,4门5座三厢,460L,4年3个月,6.75万公里,2.5L,7.5L,2.5L/CVT无级变速,前轮驱动,4门5座三厢,5015mm*1874mm*1455mm,2014年06月,福建 福州,
宝马,5系,29.30,中大型,4门5座三厢,520L,3年8个月,8.20万公里,2.0L,7.0L,2.0L/手自一体,后轮驱动,4门5座三厢,5047mm*1860mm*1491mm,2014年12月,福建 福州,
五菱,兴旺,2.50,面包车,8座单厢,- -,5年8个月,8.00万公里,1.0L,7.4L,1.0L/手动,后轮驱动,8座单厢,3500mm*1445mm*1890mm,2013年01月,浙江 宁波,
起亚,K2,4.80,小型,4门5座三厢,- -,5年8个月,6.70万公里,1.4L,6.5L,1.4L/自动,前轮驱动,4门5座三厢,4370mm*1700mm*1460mm,2013年01月,福建 福州,
比亚迪,S7,8.30,中型SUV,5门7座两厢,365L,3年3个月,7.12万公里,2.0L,8.6L,2.0L/双离合,前轮驱动,5门7座两厢,4835mm*1855mm*1720mm,2015年06月,福建 福州,
丰田,卡罗拉,10.98,紧凑型,4门5座三厢,426L,1年9个月,5.10万公里,1.2L,5.4L,1.2L/CVT无级变速,前轮驱动,4门5座三厢,4630mm*1775mm*1480mm,2016年12月,福建 福州,
奥迪,Q5,23.98,中型SUV,5门5座两厢,540L,4年11个月,6.50万公里,2.0L,9.0L,2.0L/手自一体,全时四驱,5门5座两厢,4629mm*1898mm*1655mm,2013年10月,福建 福州,
本田,雅阁,11.80,中型,4门5座三厢,- -,5年10个月,7.00万公里,2.4L,8.7L,2.4L/自动,前轮驱动,4门5座三厢,4960mm*1845mm*1480mm,2012年11月,福建 福州,
别克,GL8,13.50,MPV,5门7座两厢,680L,3年9个月,7.50万公里,2.4L,10.2L,2.4L/手自一体,前轮驱动,5门7座两厢,5213mm*1847mm*1750mm,2014年12月,福建 福州,
丰田,凯美瑞,15.90,中型,4门5座三厢,- -,1年10个月,2.60万公里,2.0L,7.0L,2.0L/手自一体,前轮驱动,4门5座三厢,4850mm*1825mm*1480mm,2016年11月,福建 福州,
大众,速腾,10.98,紧凑型,4门5座三厢,510L,1年1个月,2.40万公里,1.6L,6.8L,1.6L/手自一体,前轮驱动,4门5座三厢,4655mm*1780mm*1453mm,2017年08月,福建 福州,
宝马,X1,12.98,紧凑型SUV,5门5座两厢,- -,6年1个月,6.75万公里,2.0L,9.2L,2.0L/手自一体,后轮驱动,5门5座两厢,4469mm*1798mm*1583mm,2012年08月,福建 福州,
本田,雅阁,8.88,中型,4门5座三厢,447L,7年8个月,9.62万公里,2.4L,8.8L,2.4L/自动,前轮驱动,4门5座三厢,4945mm*1845mm*1480mm,2011年01月,福建 福州,
现代,ix35,9.00,紧凑型SUV,5门两厢,465L,4年10个月,3.85万公里,2.0L,8.2L,2.0L/手自一体,前轮驱动,5门两厢,4420mm*1820mm*1690mm,2013年11月,福建 福州,
东风风行,景逸,3.00,紧凑型,5门5座两厢,1270L,7年,7.70万公里,1.5L,6.9L,1.5L/手动,前轮驱动,5门5座两厢,4320mm*1804mm*1620mm,2011年09月,福建 福州,
丰田,雷凌,9.50,紧凑型,4门5座三厢,426L,2年6个月,3.32万公里,1.6L,5.9L,1.6L/CVT无级变速,前轮驱动,4门5座三厢,4630mm*1775mm*1480mm,2016年03月,福建 福州,
长城,C50,3.70,紧凑型,4门5座三厢,530L,5年1个月,7.00万公里,1.5L,6.3L,1.5L/手动,前轮驱动,4门5座三厢,4650mm*1775mm*1455mm,2013年08月,湖南 常德,
本田,凌派,11.50,紧凑型,4门5座三厢,588L,1年6个月,2.00万公里,1.8L,6.3L,1.8L/CVT无级变速,前轮驱动,4门5座三厢,4664mm*1750mm*1505mm,2017年03月,福建 福州,
斯柯达,昕锐,7.98,紧凑型,4门5座三厢,466L,0个月,0.02万公里,1.6L,6.2L,1.6L/自动,前轮驱动,4门5座三厢,4501mm*1706mm*1469mm,2018年09月,甘肃 酒泉,
陆风,X7,11.60,紧凑型SUV,5门5座两厢,- -,2年,4.36万公里,2.0L,10.4L,2.0L/手自一体,前轮驱动,5门5座两厢,4420mm*1910mm*1630mm,2016年09月,甘肃 酒泉,
启辰,T70,10.68,紧凑型SUV,- -,- -,3个月,0.06万公里,2.0L,7.7L,2.0L/- -,- -,- -,- -,2018年06月,甘肃 酒泉,
福特,锐界,18.80,中型SUV,5门5座两厢,233L,2年8个月,3.24万公里,2.0L,8.5L,2.0L/手自一体,前轮驱动,5门5座两厢,4878mm*1925mm*1734mm,2016年01月,福建 福州,
别克,英朗,5.90,紧凑型,4门5座三厢,455L,5年9个月,5.85万公里,1.6L,7.6L,1.6L/手自一体,前轮驱动,4门5座三厢,4671mm*1815mm*1478mm,2012年12月,福建 福州,
五菱,宏光S,4.28,MPV,- -,- -,3年6个月,3.80万公里,长安汽车,逸动,4.35,紧凑型,4门5座三厢,510L,4年1个月,4.57万公里,1.6L,6.5L,1.6L/手动,前轮驱动,4门5座三厢,4620mm*1820mm*1490mm,2014年08月,广西 桂林,
比亚迪,G3,2.58,紧凑型,4门5座三厢,- -,5年,4.54万公里,1.5L,6.2L,1.5L/手动,前轮驱动,4门5座三厢,4600mm*1705mm*1490mm,2013年09月,广西 桂林,
大众,高尔夫,7.10,紧凑型,5门5座两厢,350L,7年2个月,4.30万公里,1.4L,6.0L,1.4L/双离合,前轮驱动,5门5座两厢,4199mm*1786mm*1479mm,2011年07月,广西 桂林,
马自达,3 昂克赛拉,12.58,紧凑型,4门5座三厢,419L,10个月,1.28万公里,1.5L,5.8L,1.5L/手自一体,前轮驱动,4门5座三厢,4582mm*1795mm*1458mm,2017年11月,广西 桂林,
名爵,3,3.00,小型,5门5座两厢,682L,7年1个月,5.96万公里,1.5L,6.7L,1.5L/半自动,前轮驱动,5门5座两厢,3999mm*1728mm*1517mm,2011年08月,广西 桂林,
大众,高尔夫,9.88,紧凑型,5门5座两厢,380L,4年2个月,5.30万公里,1.4L,5.8L,1.4L/双离合,前轮驱动,5门5座两厢,4255mm*1799mm*1452mm,2014年07月,广西 桂林,
日产,逍客,8.38,紧凑型SUV,5门5座两厢,352L,6年3个月,7.80万公里,2.0L,8.2L,2.0L/CVT无级变速,前轮驱动,5门5座两厢,4315mm*1783mm*1606mm,2012年06月,广西 桂林,
江铃,宝典,4.98,皮卡,4门5座三厢,- -,5年,9.50万公里,2.8L,8.2L,2.8L/手动,分时四驱,4门5座三厢,5185mm*1720mm*1710mm,2013年09月,广西 桂林,
大众,凌渡,13.38,紧凑型,4门5座三厢,480L,1年9个月,2.30万公里,1.4L,5.4L,1.4L/双离合,前轮驱动,4门5座三厢,4598mm*1826mm*1425mm,2016年12月,浙江 宁波,
众泰,Z500,5.98,中型,4门5座三厢,500L,2年2个月,2.50万公里,1.5L,Null,1.5L/CVT无级变速,前轮驱动,4门5座三厢,4750mm*1810mm*1490mm,2016年07月,福建 福州,
大众,POLO,5.98,小型,5门5座两厢,250L,5年10个月,4.70万公里,1.4L,6.8L,1.4L/手自一体,前轮驱动,5门5座两厢,3970mm*1682mm*1462mm,2012年11月,福建 福州,
宝马,5系,22.80,中大型,4门5座三厢,520L,7年,9.60万公里,2.5L,7.9L,2.5L/手自一体,后轮驱动,4门5座三厢,5039mm*1860mm*1471mm,2011年09月,福建 福州,
丰田,卡罗拉,8.80,紧凑型,4门5座三厢,450L,4年5个月,5.70万公里,1.6L,6.9L,1.6L/自动,前轮驱动,4门5座三厢,4545mm*1760mm*1490mm,2014年04月,福建 福州,
日产,阳光,5.80,紧凑型,4门5座三厢,490L,5年8个月,6.00万公里,1.5L,5.8L,1.5L/CVT无级变速,前轮驱动,4门5座三厢,4426mm*1696mm*1514mm,2013年01月,福建 福州,
大众,凌渡,13.80,紧凑型,4门5座三厢,480L,3年1个月,5.40万公里,1.4L,Null,1.4L/双离合,前轮驱动,4门5座三厢,4598mm*1826mm*1425mm,2015年08月,福建 福州,
哈弗,H6,8.66,紧凑型SUV,5门5座两厢,808L,4年,7.96万公里,1.5L,7.2L,1.5L/手动,前轮驱动,5门5座两厢,4649mm*1852mm*1727mm,2014年09月,甘肃 酒泉,
奥迪,A3,16.80,紧凑型,4门5座三厢,380L,2年7个月,4.22万公里,1.4L,5.5L,1.4L/双离合,前轮驱动,4门5座三厢,4462mm*1796mm*1421mm,2016年01月,福建 福州,
现代,瑞纳,3.90,小型,5门5座两厢,375L,6年7个月,8.60万公里,1.4L,6.5L,1.4L/自动,前轮驱动,5门5座两厢,4085mm*1700mm*1460mm,2012年02月,福建 福州,
五菱,宏光S,3.78,MPV,- -,- -,3年9个月,10.00万公里,别克,昂科拉,9.90,小型SUV,5门5座两厢,356L,2年6个月,5.94万公里,1.4L,7.3L,1.4L/手自一体,前轮驱动,5门5座两厢,4278mm*1774mm*1646mm,2016年03月,福建 福州,
奥迪,Q3,17.80,紧凑型SUV,5门5座两厢,460L,3年3个月,5.11万公里,2.0L,7.9L,2.0L/双离合,前轮驱动,5门5座两厢,4385mm*1831mm*1589mm,2015年06月,福建 福州,
大众,朗逸,10.88,紧凑型,- -,- -,0个月,0.09万公里,1.6L,6.4L,1.6L/- -,- -,- -,- -,2018年09月,甘肃 酒泉,
福特,福克斯,7.10,紧凑型,4门5座三厢,530L,5年2个月,6.91万公里,1.6L,6.4L,1.6L/双离合,前轮驱动,4门5座三厢,4534mm*1823mm*1483mm,2013年06月,福建 福州,
福特,福克斯,5.60,紧凑型,4门5座三厢,530L,6年1个月,7.27万公里,1.6L,6.2L,1.6L/手动,前轮驱动,4门5座三厢,4534mm*1823mm*1483mm,2012年07月,福建 福州,
福特,福克斯,7.80,紧凑型,4门5座三厢,530L,5年7个月,5.31万公里,1.6L,6.4L,1.6L/双离合,前轮驱动,4门5座三厢,4534mm*1823mm*1483mm,2013年02月,福建 福州,
长安欧尚,金牛星,1.88,面包车,- -,- -,7年,8.00万公里,1.3L,Null,1.3L/- -,- -,- -,- -,2011年09月,浙江 宁波,
大众,速腾,11.88,紧凑型,4门5座三厢,510L,1年4个月,2.70万公里,1.4L,6.2L,1.4L/双离合,前轮驱动,4门5座三厢,4655mm*1780mm*1453mm,2017年05月,浙江 宁波,
马自达,3 星骋,6.58,紧凑型,4门5座三厢,377L,5年11个月,9.30万公里,1.6L,7.2L,1.6L/手自一体,前轮驱动,4门5座三厢,4595mm*1755mm*1475mm,2012年10月,福建 福州,
福特,福睿斯,7.30,紧凑型,4门5座三厢,448L,1年1个月,2.10万公里,1.5L,6.8L,1.5L/手自一体,前轮驱动,4门5座三厢,4587mm*1825mm*1490mm,2017年08月,福建 福州,
大众,朗逸,6.30,紧凑型,4门5座三厢,478L,5年7个月,5.30万公里,1.6L,Null,1.6L/手动,前轮驱动,4门5座三厢,4605mm*1765mm*1460mm,2013年02月,福建 福州,
宝马,5系(进口),26.80,中大型,5门5座两厢,520L,5年1个月,8.80万公里,3.0L,8.8L,3.0L/手自一体,后轮驱动,5门5座两厢,4907mm*1860mm*1498mm,2013年08月,福建 福州,
纳智捷,大7 SUV,6.88,中型SUV,5门5座两厢,- -,5年7个月,4.20万公里,2.2L,11.3L,2.2L/手自一体,前轮驱动,5门5座两厢,4800mm*1930mm*1760mm,2013年02月,福建 福州,
江淮,瑞风,4.30,客车,4门11座两厢,- -,6年6个月,4.50万公里,2.4L,10.3L,2.4L/手动,后轮驱动,4门11座两厢,5035mm*1820mm*1970mm,2012年03月,甘肃 酒泉,
福特,锐界(进口),18.30,中型SUV,5门5座两厢,- -,4年8个月,8.03万公里,2.0L,Null,2.0L/手自一体,前轮驱动,5门5座两厢,4699mm*1930mm*1705mm,2014年01月,福建 福州,
宝马,5系,27.00,中大型,4门5座三厢,520L,5年2个月,9.00万公里,2.0L,7.2L,2.0L/手自一体,后轮驱动,4门5座三厢,5039mm*1860mm*1492mm,2013年07月,福建 福州,
福特,翼虎,13.80,紧凑型SUV,5门5座两厢,960L,5年,7.70万公里,2.0L,8.8L,2.0L/手自一体,适时四驱,5门5座两厢,4524mm*1838mm*1695mm,2013年09月,福建 福州,
本田,雅阁,6.80,中型,5座三厢,- -,6年4个月,6.76万公里,2.0L,Null,2.0L/手动,前轮驱动,5座三厢,4960mm*1845mm*1480mm,2012年05月,福建 福州,
Jeep,自由侠,11.98,小型SUV,5门5座两厢,- -,3个月,0.08万公里,1.4L,7.2L,1.4L/双离合,前轮驱动,5门5座两厢,4245mm*1805mm*1695mm,2018年06月,甘肃 酒泉,
江淮,瑞风S3,6.80,小型SUV,5门5座两厢,600L,2年4个月,3.00万公里,1.5L,6.9L,1.5L/CVT无级变速,前轮驱动,5门5座两厢,4325mm*1765mm*1660mm,2016年05月,甘肃 酒泉,
哈弗,H6,10.50,紧凑型SUV,5门5座两厢,808L,1年10个月,2.90万公里,1.5L,7.9L,1.5L/手自一体,前轮驱动,5门5座两厢,4649mm*1852mm*1710mm,2016年11月,福建 福州,
宝马,X1(进口),17.80,紧凑型SUV,5门5座两厢,930L,5年6个月,5.30万公里,2.0L,7.6L,2.0L/手自一体,全时四驱,5门5座两厢,4454mm*1798mm*1545mm,2013年03月,福建 福州,
哈弗,H7,12.22,中型SUV,5门5座两厢,- -,1年4个月,0.39万公里,2.0L,8.5L,2.0L/双离合,前轮驱动,5门5座两厢,4700mm*1925mm*1718mm,2017年05月,河南 郑州,
日产,逍客,8.30,紧凑型SUV,5门5座两厢,352L,4年8个月,5.35万公里,2.0L,8.2L,2.0L/CVT无级变速,前轮驱动,5门5座两厢,4315mm*1783mm*1606mm,2014年01月,江西 南昌,
福特,福睿斯,7.30,紧凑型,4门5座三厢,448L,2年8个月,4.86万公里,1.5L,6.8L,1.5L/手自一体,前轮驱动,4门5座三厢,4587mm*1825mm*1490mm,2016年01月,广东 佛山,
奔驰,E级,19.88,中大型,4门5座三厢,540L,6年10个月,6.80万公里,1.8L,8.7L,1.8L/手自一体,后轮驱动,4门5座三厢,5012mm*1855mm*1464mm,2011年10月,福建 福州,
大众,高尔夫,8.60,紧凑型,5门5座两厢,350L,6年7个月,9.90万公里,1.6L,6.6L,1.6L/双离合,前轮驱动,5门5座两厢,4199mm*1786mm*1479mm,2012年02月,福建 福州,
别克,君越,8.70,中型,4门5座三厢,510L,6年8个月,8.00万公里,2.4L,9.4L,2.4L/手自一体,前轮驱动,4门5座三厢,5000mm*1858mm*1497mm,2012年01月,湖南 常德,
丰田,卡罗拉,6.53,紧凑型,4门5座三厢,450L,6年5个月,8.05万公里,1.6L,7.2L,1.6L/自动,前轮驱动,4门5座三厢,4545mm*1760mm*1490mm,2012年04月,河南 郑州,
丰田,皇冠,23.65,中大型,4门5座三厢,510L,2年2个月,3.73万公里,2.5L,8.8L,2.5L/手自一体,后轮驱动,4门5座三厢,5020mm*1805mm*1480mm,2016年07月,河南 郑州,
本田,锋范,4.96,紧凑型,4门5座三厢,506L,5年2个月,5.88万公里,1.5L,6.2L,1.5L/手动,前轮驱动,4门5座三厢,4422mm*1695mm*1470mm,2013年07月,河南 郑州,
大众,凌渡,11.73,紧凑型,4门5座三厢,480L,2年9个月,3.86万公里,1.4L,Null,1.4L/双离合,前轮驱动,4门5座三厢,4598mm*1826mm*1425mm,2015年12月,河南 新乡,
本田,CR-V,14.96,紧凑型SUV,5门5座两厢,- -,4年3个月,5.98万公里,2.4L,8.8L,2.4L/自动,前轮驱动,5门5座两厢,4550mm*1820mm*1685mm,2014年06月,河南 郑州,
smart,fortwo,5.47,微型,3门2座两厢,220L,5年3个月,6.42万公里,1.0L,4.9L,1.0L/半自动,后轮驱动,3门2座两厢,2695mm*1559mm*1565mm,2013年05月,河南 郑州,
大众,途观,14.53,紧凑型SUV,5门5座两厢,400L,2年6个月,4.15万公里,1.8L,8.6L,1.8L/手自一体,前轮驱动,5门5座两厢,4506mm*1809mm*1685mm,2016年03月,河南 郑州,
奥迪,A4L,26.56,中型,4门5座三厢,523L,1年7个月,2.99万公里,2.0L,5.9L,2.0L/双离合,前轮驱动,4门5座三厢,4818mm*1843mm*1432mm,2017年02月,河南 郑州,
别克,凯越,5.16,紧凑型,4门5座三厢,405L,3年5个月,6.77万公里,1.5L,7.6L,1.5L/手自一体,前轮驱动,4门5座三厢,4515mm*1725mm*1445mm,2015年04月,河南 郑州,
保时捷,Macan,49.23,中型SUV,5门5座两厢,500L,1年7个月,2.11万公里,2.0L,7.9L,2.0L/双离合,全时四驱,5门5座两厢,4681mm*1923mm*1624mm,2017年02月,河南 郑州,
福特,探险者,24.76,中大型SUV,5门7座两厢,- -,3年9个月,7.32万公里,3.5L,10.2L,3.5L/手自一体,适时四驱,5门7座两厢,5006mm*2005mm*1743mm,2014年12月,河南 郑州,
福特,蒙迪欧,14.93,中型,4门5座三厢,516L,2年8个月,4.71万公里,2.0L,7.9L,2.0L/手自一体,前轮驱动,4门5座三厢,4860mm*1854mm*1480mm,2016年01月,河南 郑州,
起亚,K3,6.75,紧凑型,4门5座三厢,- -,3年5个月,4.63万公里,1.6L,6.4L,1.6L/手自一体,前轮驱动,4门5座三厢,4600mm*1780mm*1445mm,2015年04月,河南 郑州,
标致,301,4.35,紧凑型,4门5座三厢,485L,3年,8.04万公里,1.6L,7.6L,1.6L/手自一体,前轮驱动,4门5座三厢,4442mm*1748mm*1476mm,2015年08月,河南 郑州,
丰田,凯美瑞,11.36,中型,4门5座三厢,504L,3年3个月,6.99万公里,2.0L,8.4L,2.0L/手自一体,前轮驱动,4门5座三厢,4825mm*1825mm*1480mm,2015年06月,河南 郑州,
奔驰,GLK级,24.68,中型SUV,5门5座两厢,450L,3年8个月,9.32万公里,2.0L,7.8L,2.0L/手自一体,后轮驱动,5门5座两厢,4544mm*1840mm*1689mm,2015年01月,河南 郑州,
别克,君越,9.63,中型,4门5座三厢,- -,5年3个月,6.87万公里,2.4L,9.4L,2.4L/手自一体,前轮驱动,4门5座三厢,5000mm*1858mm*1497mm,2013年06月,河南 郑州,
丰田,RAV4荣放,14.38,紧凑型SUV,5门5座两厢,- -,3年4个月,3.59万公里,2.0L,7.3L,2.0L/CVT无级变速,前轮驱动,5门5座两厢,4570mm*1845mm*1670mm,2015年05月,山东 济宁,
雪铁龙,世嘉,3.15,紧凑型,4门5座三厢,481L,7年4个月,9.95万公里,1.6L,7.3L,1.6L/手动,前轮驱动,4门5座三厢,4556mm*1773mm*1486mm,2011年05月,山东 济宁,
丰田,卡罗拉,9.80,紧凑型,4门5座三厢,426L,1年4个月,1.33万公里,1.2L,5.4L,1.2L/CVT无级变速,前轮驱动,4门5座三厢,4630mm*1775mm*1480mm,2017年05月,广东 东莞,
哈弗,H6 Coupe,10.78,紧凑型SUV,5门5座两厢,- -,1年6个月,2.37万公里,1.5L,7.9L,1.5L/自动,前轮驱动,5门5座两厢,4549mm*1835mm*1700mm,2017年03月,广东 东莞,
福特,福克斯,5.59,紧凑型,4门5座三厢,526L,5年3个月,6.16万公里,1.8L,8.1L,1.8L/手自一体,前轮驱动,4门5座三厢,4480mm*1840mm*1500mm,2013年06月,广东 东莞,
吉利,帝豪,5.59,紧凑型,4门5座三厢,680L,2年8个月,4.23万公里,1.5L,5.7L,1.5L/手动,前轮驱动,4门5座三厢,4631mm*1789mm*1470mm,2016年01月,广东 东莞,
哈弗,H6,8.10,紧凑型SUV,5门5座两厢,808L,3年4个月,3.90万公里,1.5L,7.2L,1.5L/手动,前轮驱动,5门5座两厢,4649mm*1852mm*1710mm,2015年05月,广东 东莞,
起亚,索兰托,10.60,中型SUV,5门5座两厢,258L,7年9个月,8.60万公里,2.4L,9.9L,2.4L/手自一体,适时四驱,5门5座两厢,4685mm*1885mm*1755mm,2010年12月,陕西 榆林,
福特,蒙迪欧,11.78,中型,4门5座三厢,516L,4年10个月,7.20万公里,2.0L,7.9L,2.0L/手自一体,前轮驱动,4门5座三厢,4860mm*1854mm*1480mm,2013年11月,上海,
奇瑞,A3,2.18,紧凑型,5座三厢,- -,7年2个月,6.27万公里,1.6L,6.5L,1.6L/手动,前轮驱动,5座三厢,4352mm*1794mm*1464mm,2011年07月,四川 泸州,
丰田,花冠,6.58,紧凑型,4门5座三厢,430L,4年,5.16万公里,1.6L,6.5L,1.6L/手动,前轮驱动,4门5座三厢,4555mm*1705mm*1490mm,2014年09月,四川 泸州,
现代,胜达,14.88,中型SUV,5门5座两厢,- -,4年9个月,5.00万公里,2.4L,9.4L,2.4L/手自一体,适时四驱,5门5座两厢,4725mm*1880mm*1686mm,2013年12月,陕西 榆林,
长安汽车,长安CX20,2.60,小型,5门5座两厢,- -,5年2个月,5.12万公里,1.3L,6.7L,1.3L/手动,前轮驱动,5门5座两厢,3900mm*1710mm*1570mm,2013年07月,陕西 榆林,
别克,英朗,5.28,紧凑型,4门5座三厢,455L,7年9个月,7.98万公里,1.6L,7.6L,1.6L/手自一体,前轮驱动,4门5座三厢,4671mm*1815mm*1478mm,2010年12月,四川 泸州,
Jeep,自由客,12.80,SUV,5门5座两厢,536L,5年,8.08万公里,2.4L,9.4L,2.4L/CVT无级变速,适时四驱,5门5座两厢,4424mm*1808mm*1667mm,2013年08月,陕西 榆林,
福特,蒙迪欧,19.98,中型,4门5座三厢,445L,1年6个月,0.20万公里,2.0L,4.2L,2.0L/CVT无级变速,前轮驱动,4门5座三厢,4873mm*1852mm*1470mm,2017年03月,上海,
五菱,荣光,3.25,面包车,5门5座单厢,- -,3年3个月,3.00万公里,1.5L,7.0L,1.5L/手动,后轮驱动,5门5座单厢,4135mm*1660mm*1870mm,2015年06月,河北 石家庄,
五菱,宏光S,4.25,MPV,5门5座单厢,- -,4年5个月,4.00万公里,1.5L,7.5L,1.5L/手动,后轮驱动,5门5座单厢,4400mm*1680mm*1770mm,2014年04月,河北 石家庄,
广汽传祺,传祺GS4,10.10,紧凑型SUV,5门5座两厢,450L,2年3个月,1.35万公里,1.5L,6.4L,1.5L/双离合,前轮驱动,5门5座两厢,4510mm*1852mm*1708mm,2016年06月,河北 石家庄,
大众,高尔夫·嘉旅,13.80,MPV,5门5座两厢,500L,1年9个月,1.91万公里,1.4L,5.6L,1.4L/双离合,前轮驱动,5门5座两厢,4348mm*1807mm*1574mm,2016年12月,河北 石家庄,
本田,锋范,5.18,紧凑型,4门5座三厢,506L,7年8个月,2.66万公里,1.5L,6.5L,1.5L/手动,前轮驱动,4门5座三厢,4400mm*1695mm*1470mm,2011年01月,河北 石家庄,
宝骏,730,4.90,MPV,5门5座单厢,- -,3年4个月,2.96万公里,1.5L,7.1L,1.5L/手动,前轮驱动,5门5座单厢,4685mm*1785mm*1715mm,2015年05月,河北 石家庄,
本田,XR-V,11.18,小型SUV,5门5座两厢,- -,1年10个月,1.88万公里,1.5L,5.9L,1.5L/CVT无级变速,- -,5门5座两厢,4270mm*1772mm*1605mm,2016年11月,浙江 台州,
启辰,T70,7.38,紧凑型SUV,5门5座两厢,534L,2年3个月,3.84万公里,2.0L,7.8L,2.0L/CVT无级变速,前轮驱动,5门5座两厢,4542mm*1786mm*1642mm,2016年06月,广东 东莞,
欧宝,安德拉,9.30,中型SUV,5门5座两厢,370L,7年6个月,7.00万公里,2.4L,10.5L,2.4L/手自一体,适时四驱,5门5座两厢,4576mm*1850mm*1704mm,2011年03月,辽宁 大连,
WEY,VV5,13.98,紧凑型SUV,- -,- -,7个月,0.69万公里,2.0L,7.8L,2.0L/- -,- -,- -,- -,2018年02月,广东 东莞,
起亚,K3,7.18,紧凑型,4门5座三厢,- -,4年4个月,7.60万公里,1.6L,6.7L,1.6L/手自一体,前轮驱动,4门5座三厢,4600mm*1780mm*1445mm,2014年05月,广东 东莞,
标致,301,4.50,紧凑型,4门5座三厢,485L,4年5个月,5.64万公里,1.6L,7.6L,1.6L/手自一体,前轮驱动,4门5座三厢,4442mm*1748mm*1476mm,2014年04月,福建 厦门,
日产,阳光,5.90,紧凑型,4门5座三厢,490L,2年2个月,2.90万公里,1.5L,5.8L,1.5L/CVT无级变速,前轮驱动,4门5座三厢,4456mm*1696mm*1514mm,2016年07月,福建 厦门,
长安汽车,长安CS35,3.80,小型SUV,5门5座两厢,- -,5年9个月,7.30万公里,1.6L,6.8L,1.6L/手动,前轮驱动,5门5座两厢,4160mm*1810mm*1670mm,2012年11月,山东 济宁,
起亚,K2,5.25,小型,4门5座三厢,- -,5年2个月,7.64万公里,1.4L,6.5L,1.4L/自动,前轮驱动,4门5座三厢,4370mm*1700mm*1460mm,2013年07月,新疆 乌鲁木齐,
起亚,K2,5.60,小型,4门5座三厢,- -,2年5个月,3.14万公里,1.4L,6.1L,1.4L/手动,前轮驱动,4门5座三厢,4378mm*1700mm*1460mm,2016年04月,新疆 乌鲁木齐,
本田,杰德,10.30,紧凑型,5门5座两厢,- -,4年2个月,6.60万公里,1.8L,6.9L,1.8L/自动,前轮驱动,5门5座两厢,4660mm*1775mm*1500mm,2014年07月,河南 濮阳,
现代,朗动,7.30,紧凑型,4门5座三厢,473L,3年3个月,3.81万公里,1.6L,6.3L,1.6L/手动,前轮驱动,4门5座三厢,4570mm*1775mm*1445mm,2015年05月,辽宁 沈阳,
福特,翼虎,13.50,紧凑型SUV,5门5座两厢,960L,4年10个月,6.23万公里,1.6L,8.0L,1.6L/手自一体,适时四驱,5门5座两厢,4524mm*1838mm*1695mm,2013年11月,广东 东莞,
福特,翼虎,16.80,紧凑型SUV,5门5座两厢,960L,2年4个月,2.95万公里,1.5L,7.6L,1.5L/手自一体,适时四驱,5门5座两厢,4524mm*1838mm*1695mm,2016年05月,广东 东莞,
长安汽车,悦翔V3,2.80,小型,4门5座三厢,- -,4年5个月,3.68万公里,1.3L,5.6L,1.3L/手动,前轮驱动,4门5座三厢,4180mm*1650mm*1465mm,2014年04月,辽宁 沈阳,
起亚,K2,4.95,小型,4门5座三厢,- -,6年6个月,5.80万公里,1.6L,6.5L,1.6L/自动,前轮驱动,4门5座三厢,4370mm*1700mm*1460mm,2012年03月,辽宁 沈阳,
长安欧尚,欧诺,2.40,MPV,5门7座两厢,- -,5年10个月,5.00万公里,1.3L,Null,1.3L/手动,后轮驱动,5门7座两厢,4360mm*1685mm*1820mm,2012年11月,辽宁 大连,
长城,M4,3.68,小型,5门5座两厢,- -,5年4个月,4.51万公里,1.5L,6.0L,1.5L/手动,前轮驱动,5门5座两厢,3961mm*1728mm*1617mm,2013年04月,辽宁 沈阳,
雪佛兰,迈锐宝,9.98,中型,4门5座三厢,544L,3年8个月,7.09万公里,2.0L,8.2L,2.0L/手自一体,前轮驱动,4门5座三厢,4869mm*1854mm*1472mm,2015年01月,广东 东莞,
起亚,K5,8.98,中型,4门5座三厢,- -,5年8个月,9.05万公里,2.0L,7.7L,2.0L/手自一体,前轮驱动,4门5座三厢,4845mm*1830mm*1460mm,2013年01月,辽宁 沈阳,
